provider,event_id_anchor,query_status,items_returned,relevant_hits,quota_limited,permission_limited,detail_safe
marketaux,2232,ok,3,1,False,False,
marketaux,998,ok,3,1,False,False,
marketaux,1185,ok,3,1,False,False,
marketaux,773,ok,3,1,False,False,
marketaux,646,ok,3,3,False,False,
marketaux,762,ok,3,0,False,False,
marketaux,1953,ok,3,1,False,False,
marketaux,1381,ok,3,0,False,False,
marketaux,2262,ok,3,0,False,False,
marketaux,1396,ok,3,0,False,False,
marketaux,2204,ok,3,1,False,False,
marketaux,2210,ok,3,0,False,False,
marketaux,1248,ok,3,1,False,False,
marketaux,487,ok,3,0,False,False,
marketaux,1982,ok,3,0,False,False,
marketaux,110,ok,3,3,False,False,
marketaux,4,ok,3,1,False,False,
marketaux,28,ok,3,0,False,False,
marketaux,217,ok,3,1,False,False,
marketaux,395,ok,3,0,False,False,
marketaux,2100,ok,3,1,False,False,
marketaux,1386,ok,3,1,False,False,
marketaux,845,ok,3,0,False,False,
marketaux,589,ok,3,2,False,False,
marketaux,525,ok,3,1,False,False,
marketaux,2023,ok,3,0,False,False,
marketaux,2069,ok,3,0,False,False,
marketaux,452,ok,3,0,False,False,
marketaux,623,ok,3,1,False,False,
marketaux,790,ok,3,1,False,False,
marketaux,514,ok,3,0,False,False,
marketaux,2201,ok,3,1,False,False,
marketaux,94,ok,3,0,False,False,
marketaux,345,ok,3,0,False,False,
marketaux,2304,ok,3,2,False,False,
marketaux,1233,ok,3,1,False,False,
marketaux,1267,ok,3,1,False,False,
marketaux,1980,ok,3,0,False,False,
marketaux,208,ok,3,0,False,False,
marketaux,969,ok,3,0,False,False,
marketaux,1142,ok,3,2,False,False,
marketaux,927,ok,3,1,False,False,
marketaux,1766,ok,3,0,False,False,
marketaux,1014,ok,3,1,False,False,
marketaux,1708,ok,3,1,False,False,
marketaux,1608,ok,3,1,False,False,
marketaux,849,ok,3,1,False,False,
marketaux,1339,ok,3,0,False,False,
marketaux,1904,ok,3,0,False,False,
marketaux,390,ok,3,0,False,False,
massive_polygon,2232,ok,25,7,False,False,
massive_polygon,998,ok,25,7,False,False,
massive_polygon,1185,ok,25,9,False,False,
massive_polygon,773,ok,24,11,False,False,
massive_polygon,646,ok,25,11,False,False,
massive_polygon,762,rate_limited,0,0,True,False,http_429
massive_polygon,1953,rate_limited,0,0,True,False,http_429
massive_polygon,1381,rate_limited,0,0,True,False,http_429
massive_polygon,2262,rate_limited,0,0,True,False,http_429
massive_polygon,1396,rate_limited,0,0,True,False,http_429
massive_polygon,2204,rate_limited,0,0,True,False,http_429
massive_polygon,2210,rate_limited,0,0,True,False,http_429
massive_polygon,1248,rate_limited,0,0,True,False,http_429
massive_polygon,487,rate_limited,0,0,True,False,http_429
massive_polygon,1982,rate_limited,0,0,True,False,http_429
massive_polygon,110,rate_limited,0,0,True,False,http_429
massive_polygon,4,rate_limited,0,0,True,False,http_429
massive_polygon,28,rate_limited,0,0,True,False,http_429
massive_polygon,217,rate_limited,0,0,True,False,http_429
massive_polygon,395,rate_limited,0,0,True,False,http_429
massive_polygon,2100,rate_limited,0,0,True,False,http_429
massive_polygon,1386,rate_limited,0,0,True,False,http_429
massive_polygon,845,rate_limited,0,0,True,False,http_429
massive_polygon,589,rate_limited,0,0,True,False,http_429
massive_polygon,525,rate_limited,0,0,True,False,http_429
massive_polygon,2023,rate_limited,0,0,True,False,http_429
massive_polygon,2069,rate_limited,0,0,True,False,http_429
massive_polygon,452,rate_limited,0,0,True,False,http_429
massive_polygon,623,rate_limited,0,0,True,False,http_429
massive_polygon,790,rate_limited,0,0,True,False,http_429
alpaca_news,2232,ok,25,14,False,False,
alpaca_news,998,ok,25,16,False,False,
alpaca_news,1185,ok,25,12,False,False,
alpaca_news,773,ok,25,15,False,False,
alpaca_news,646,ok,25,17,False,False,
alpaca_news,762,ok,25,17,False,False,
alpaca_news,1953,ok,25,16,False,False,
alpaca_news,1381,ok,25,18,False,False,
alpaca_news,2262,ok,25,15,False,False,
alpaca_news,1396,ok,25,11,False,False,
alpaca_news,2204,ok,25,16,False,False,
alpaca_news,2210,ok,25,14,False,False,
alpaca_news,1248,ok,25,18,False,False,
alpaca_news,487,ok,25,14,False,False,
alpaca_news,1982,ok,25,19,False,False,
alpaca_news,110,ok,25,14,False,False,
alpaca_news,4,ok,25,15,False,False,
alpaca_news,28,ok,25,16,False,False,
alpaca_news,217,ok,25,11,False,False,
alpaca_news,395,ok,25,14,False,False,
alpaca_news,2100,ok,25,16,False,False,
alpaca_news,1386,ok,25,15,False,False,
